E_LPN_8	scBS_2C_6_1	scBS_2C_6_2	scBS_4C_7_1	scBS_4C_7_2	scBS_4C_7_3	scBS_4C_7_4	scBS_8C_9_1	scBS_8C_9_2	scBS_8C_9_3	scBS_8C_9_4	scBS_8C_9_5	scBS_8C_9_6	scBS_8C_9_7	scBS_8C_9_8
ARID3B	0.607	0.529	0.509	0.382	0.448	0.267	0.374	0.431	0.384	0.494	0.528	0.523	0.683	0.543	0.451
C6orf136	0.156	0.083	0.241	0.136	0.0	0.148	0.071	0.157	0.223	0.158	0.224	0.142	0.068	0.203	0.082
C19orf40	0.333	0.833	0.548	0.143	0.192	0.412	0.229	0.341	0.176	0.523	0.315	0.559	0.515	0.593	0.409
L3HYPDH	0.125	0.0	0.023	0.069	0.063	0.071	0.0	0.026	0.065	0.0	0.0	0.043	0.051	0.065	0.024
C19orf43	0.074	0.175	0.063	0.125	0.024	0.197	0.0	0.069	0.316	0.162	0.277	0.076	0.275	0.165	0.107
C19orf44	0.737	0.426	0.569	0.441	0.295	0.433	0.518	0.463	0.314	0.479	0.437	0.724	0.685	0.476	0.546
C19orf45	0.04	0.024	0.007	0.013	0.04	0.032	0.0	0.017	0.021	0.03	0.065	0.091	0.061	0.077	0.032
C19orf47	0.656	0.564	0.502	0.301	0.229	0.297	0.304	0.31	0.341	0.45	0.47	0.692	0.676	0.261	0.335
C19orf48	0.528	0.212	0.114	0.062	0.049	0.1	0.077	0.276	0.157	0.345	0.229	0.271	0.408	0.338	0.159
CEMP1	0.32	0.1	0.25	0.0	0.0	0.182	0.0	0.091	0.1	0.05	0.35	0.13	0.34	0.417	0.318
NECAB3	0.2	0.404	0.149	0.13	0.145	0.034	0.159	0.064	0.114	0.134	0.176	0.171	0.071	0.18	0.144
NECAB2	0.409	0.215	0.465	0.138	0.113	0.152	0.21	0.356	0.223	0.506	0.594	0.366	0.301	0.414	0.389
NECAB1	0.633	0.48	0.58	0.371	0.41	0.296	0.298	0.743	0.705	0.65	0.695	0.776	0.648	0.549	0.676
LOC101927502	0.12	0.288	0.18	0.147	0.076	0.126	0.032	0.353	0.142	0.305	0.35	0.314	0.182	0.115	0.232
LOC101927501	0.479	0.889	0.59	0.303	0.375	0.232	0.121	0.65	0.655	0.882	0.67	0.477	0.44	0.57	0.648
SARAF	0.41	0.094	0.38	0.075	0.0	0.165	0.281	0.467	0.17	0.313	0.316	0.257	0.22	0.2	0.262
HTR6	0.122	0.15	0.043	0.04	0.051	0.019	0.167	0.179	0.247	0.183	0.051	0.153	0.048	0.02	0.066
HTR7	0.579	0.742	0.534	0.415	0.415	0.4	0.332	0.598	0.734	0.641	0.797	0.792	0.592	0.594	0.58
HTR4	0.232	0.192	0.328	0.171	0.306	0.158	0.235	0.333	0.396	0.428	0.653	0.477	0.482	0.407	0.534
RAE1	0.47	0.639	0.53	0.231	0.067	0.299	0.202	0.382	0.404	0.556	0.313	0.585	0.356	0.39	0.418
MIR1289-2	NA	NA	1.0	NA	NA	NA	NA	0.0	0.0	NA	NA	0.0	NA	1.0	0.0
TNRC6C-AS1	0.085	0.462	0.136	0.116	0.0	0.191	0.0	0.02	0.037	0.212	0.38	0.063	0.363	0.237	0.453
KDELR2	0.399	0.5	0.323	0.136	0.259	0.289	0.199	0.265	0.207	0.261	0.305	0.5	0.29	0.457	0.361
KDELR3	0.376	0.357	0.51	0.11	0.192	0.252	0.239	0.363	0.362	0.533	0.347	0.28	0.444	0.465	0.282
KDELR1	0.41	0.125	0.568	0.213	0.323	0.429	0.119	0.42	0.286	0.336	0.219	0.506	0.505	0.332	0.28
CLEC12B	0.0	0.5	1.0	0.0	0.0	0.0	0.0	0.5	1.0	0.0	0.8	NA	1.0	0.5	0.545
CLEC12A	0.247	0.5	0.391	0.033	0.07	0.109	0.276	0.134	0.298	0.14	0.318	0.176	0.299	0.458	0.391
LRRD1	0.305	0.241	0.654	0.172	0.0	0.13	0.077	0.283	0.511	0.059	0.15	0.145	0.321	0.385	0.485
ST14	0.119	0.114	0.149	0.092	0.039	0.083	0.008	0.065	0.078	0.205	0.114	0.169	0.084	0.197	0.079
ST13	0.518	0.235	0.321	0.21	0.143	0.137	0.22	0.275	0.451	0.496	0.5	0.308	0.412	0.411	0.443
MUTYH	0.312	0.267	0.218	0.171	0.378	0.136	0.215	0.345	0.248	0.301	0.081	0.255	0.256	0.236	0.368
NKAPL	0.0	0.0	0.0	0.0	0.0	0.056	0.0	0.063	0.0	0.0	0.0	0.0	0.031	0.0	0.0
PCTP	0.342	0.22	0.3	0.323	0.147	0.364	0.211	0.412	0.432	0.92	0.683	0.475	0.467	0.763	0.397
RNU6-19P	0.709	0.786	0.576	0.307	0.247	0.184	0.339	0.593	0.52	0.631	0.866	0.689	0.515	0.701	0.714
PVT1	0.354	0.309	0.302	0.12	0.096	0.207	0.202	0.254	0.219	0.279	0.531	0.256	0.326	0.437	0.379
LINC01384	0.259	0.0	0.25	0.171	0.15	0.0	0.0	0.565	0.5	0.167	0.2	0.432	0.647	0.62	0.186
PLEC	0.533	0.384	0.422	0.225	0.187	0.319	0.318	0.449	0.433	0.56	0.529	0.491	0.497	0.61	0.466
LINC01387	0.288	0.516	0.365	0.167	0.117	0.195	0.161	0.459	0.341	0.531	0.674	0.359	0.56	0.434	0.479
NELL1	0.735	0.643	0.676	0.468	0.317	0.446	0.388	0.621	0.67	0.751	0.807	0.711	0.691	0.81	0.755
NELL2	0.274	0.311	0.383	0.153	0.325	0.12	0.297	0.388	0.377	0.547	0.672	0.474	0.472	0.48	0.469
PLEK	0.33	0.111	0.525	0.214	0.083	0.222	0.171	0.25	0.341	0.538	0.403	0.429	0.471	0.333	0.659
LOC100130899	0.25	0.143	0.53	0.111	0.0	0.208	0.097	0.111	0.025	0.286	0.0	0.087	0.098	0.456	0.143
GOT1L1	0.083	0.0	0.208	0.0	0.0	0.0	0.022	0.0	0.08	0.156	0.174	0.024	0.129	0.297	0.0
SPOCK1	0.659	0.589	0.623	0.039	0.426	0.318	0.434	0.528	0.502	0.648	0.739	0.604	0.605	0.732	0.651
SPOCK2	0.134	0.157	0.051	0.037	0.004	0.056	0.021	0.074	0.206	0.111	0.105	0.107	0.007	0.04	0.075
SPOCK3	0.716	0.718	0.648	0.501	0.368	0.481	0.376	0.675	0.644	0.727	0.661	0.649	0.73	0.727	0.706
FNBP1	0.607	0.556	0.554	0.371	0.371	0.394	0.368	0.653	0.482	0.451	0.473	0.678	0.496	0.364	0.453
BTN3A2	0.113	0.105	0.208	0.0	0.0	0.063	0.048	0.237	0.25	0.389	0.105	0.383	0.0	0.038	0.146
BTN3A3	0.25	0.563	0.583	0.028	0.059	0.0	0.333	0.4	0.462	0.154	0.3	0.598	0.156	0.286	0.222
FNBP4	0.616	0.723	0.491	0.333	0.173	0.329	0.383	0.474	0.582	0.454	0.579	0.589	0.585	0.617	0.428
APOOL	0.792	0.826	0.814	0.715	0.532	0.634	0.384	0.981	0.941	0.845	0.936	0.74	0.528	0.843	0.795
ZNF747	0.402	0.058	0.154	0.077	0.02	0.038	0.095	0.102	0.025	0.059	0.045	0.144	0.107	0.136	0.029
ZNF746	0.558	0.125	0.291	0.214	0.24	0.155	0.095	0.262	0.411	0.461	0.738	0.219	0.416	0.324	0.375
ZNF740	0.275	0.266	0.283	0.09	0.158	0.018	0.132	0.319	0.029	0.317	0.2	0.14	0.224	0.407	0.316
ZNF749	0.429	0.167	0.146	0.042	0.135	0.076	0.086	0.104	0.307	0.528	0.804	0.31	0.3	0.541	0.331
AGTRAP	0.514	0.353	0.431	0.315	0.215	0.094	0.25	0.467	0.584	0.368	0.295	0.269	0.43	0.423	0.195
OR11H2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA	1.0	NA
OR11H1	0.0	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	1.0	NA	NA	NA
OR11H6	0.0	0.0	0.0	0.0	NA	0.0	0.0	0.0	0.333	0.25	0.25	0.2	0.3	0.6	NA
OR11H4	0.0	NA	0.0	0.0	NA	0.0	NA	NA	1.0	NA	1.0	0.0	0.167	0.5	0.4
TNFRSF13B	0.202	0.174	0.2	0.137	0.0	0.063	0.077	0.172	0.316	0.114	0.322	0.048	0.064	0.04	0.327
TNFRSF13C	0.012	0.014	0.0	0.007	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.019	0.007	0.008
YTHDC1	0.362	0.452	0.418	0.05	0.053	0.222	0.224	0.114	0.14	0.5	0.432	0.25	0.463	0.158	0.678
YTHDC2	0.481	0.7	0.333	0.162	0.372	0.317	0.513	0.45	0.5	0.59	0.414	0.686	0.702	0.314	0.5
TRPS1	0.422	0.482	0.364	0.258	0.19	0.209	0.3	0.476	0.505	0.471	0.366	0.567	0.605	0.798	0.544
GS1-24F4.2	0.066	0.0	0.047	0.0	0.0	0.045	0.0	0.333	0.091	0.194	0.274	0.0	0.024	0.148	0.089
LOC100129935	0.206	0.5	0.05	0.0	1.0	0.0	0.25	0.5	0.889	0.158	0.571	0.286	0.25	0.5	0.143
LOC100129931	0.115	0.142	0.056	0.064	0.021	0.086	0.016	0.134	0.085	0.08	0.263	0.059	0.191	0.092	0.139
SLX1B-SULT1A4	0.423	0.111	0.048	0.024	0.0	0.0	0.036	0.065	0.063	0.487	0.75	0.203	0.33	0.63	0.545
EED	0.264	0.889	0.3	0.341	0.231	0.177	0.278	0.5	0.761	0.723	0.526	0.398	0.424	0.529	0.336
YAE1D1	0.338	0.34	0.452	0.221	0.265	0.307	0.219	0.153	0.194	0.338	0.375	0.17	0.361	0.267	0.333
FOXD3-AS1	0.008	0.0	0.004	0.008	0.007	0.012	0.005	0.0	0.014	0.007	0.0	0.002	0.013	0.009	0.003
GRHL1	0.603	0.47	0.378	0.383	0.25	0.336	0.308	0.291	0.622	0.37	0.205	0.564	0.595	0.536	0.486
GRHL2	0.614	0.453	0.573	0.303	0.173	0.371	0.323	0.543	0.35	0.645	0.794	0.439	0.435	0.559	0.48
GRHL3	0.681	0.298	0.441	0.214	0.328	0.322	0.299	0.328	0.467	0.46	0.355	0.38	0.282	0.301	0.284
GCLC	0.383	0.25	0.308	0.327	0.118	0.101	0.245	0.303	0.21	0.423	0.341	0.367	0.357	0.283	0.478
NR3C2	0.749	0.713	0.642	0.447	0.253	0.387	0.385	0.705	0.732	0.85	0.834	0.756	0.865	0.764	0.818
NR3C1	0.361	0.313	0.259	0.075	0.185	0.221	0.229	0.386	0.5	0.326	0.405	0.332	0.515	0.33	0.452
VCPKMT	0.185	0.5	0.45	0.061	0.0	0.067	0.225	0.2	0.529	0.333	NA	0.138	0.158	0.205	0.216
SNORD36A	NA	NA	0.0	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	0.0
MIR4688	NA	NA	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	NA	1.0	0.0	NA
SNORD36C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNORD36B	NA	NA	NA	0.0	NA	NA	NA	NA	0.0	1.0	1.0	0.0	0.0	NA	NA
MIR4685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR4684	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	1.0	1.0	NA	NA	NA
MIR4687	NA	NA	0.0	0.0	0.0	NA	0.0	NA	NA	NA	NA	0.0	0.0	0.0	0.0
MIR4686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR4681	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	1.0	0.0	NA
MIR4680	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR4683	NA	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	NA	0.0	0.0	0.0	NA
MIR4682	NA	NA	0.0	0.0	0.0	NA	NA	0.0	0.5	NA	NA	0.0	NA	NA	0.0
SSX4B	0.0	0.0	0.0	0.0	0.333	0.0	NA	NA	0.375	0.0	0.5	0.0	0.0	0.583	1.0
RAP2C-AS1	0.677	0.768	0.624	0.219	0.319	0.372	0.39	0.738	0.858	0.844	0.907	0.763	0.736	0.745	0.758
NOTO	0.088	0.0	0.063	0.019	0.018	0.018	0.0	0.009	0.069	0.029	0.042	0.175	0.06	0.042	0.013
INTS6-AS1	0.0	0.091	NA	0.02	0.031	0.0	NA	0.03	0.0	0.077	0.025	0.0	0.019	0.1	0.059
MYO7A	0.733	0.657	0.57	0.327	0.245	0.407	0.288	0.399	0.597	0.679	0.537	0.655	0.442	0.644	0.437
MYO7B	0.623	0.227	0.23	0.184	0.157	0.25	0.103	0.587	0.467	0.343	0.312	0.423	0.314	0.313	0.346
ACADVL	0.222	0.113	0.136	0.089	0.1	0.149	0.042	0.064	0.284	0.268	0.313	0.15	0.175	0.051	0.07
RTCA-AS1	0.0	NA	0.083	0.0	0.25	0.0	0.0	0.0	NA	0.0	0.0	0.0	0.333	0.5	0.5
SEC23IP	0.763	0.588	0.529	0.303	0.25	0.279	0.194	0.497	0.792	0.58	0.701	0.538	0.53	0.512	0.668
NAA60	0.466	0.39	0.369	0.259	0.192	0.226	0.192	0.341	0.382	0.486	0.592	0.335	0.356	0.606	0.351
NAPSA	0.354	0.455	0.235	0.086	0.042	0.085	0.014	0.233	0.155	0.245	0.412	0.381	0.296	0.094	0.352
NAPSB	0.433	0.313	0.542	0.277	0.389	0.234	0.198	0.207	0.5	0.5	0.413	0.529	0.37	0.333	0.319
LOC101929574	0.193	1.0	0.368	0.0	0.0	0.317	0.0	0.081	0.137	0.2	0.363	0.302	0.05	0.059	0.04
LOC101929570	0.842	1.0	0.667	0.688	0.563	0.909	0.583	1.0	1.0	0.861	1.0	1.0	0.938	0.765	0.967
LOC101929572	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA	NA	0.667	1.0	NA	NA
WIPI2	0.501	0.326	0.477	0.531	0.297	0.364	0.305	0.472	0.39	0.413	0.498	0.463	0.524	0.696	0.74
WIPI1	0.707	0.653	0.61	0.438	0.382	0.534	0.331	0.54	0.345	0.435	0.66	0.459	0.588	0.508	0.542
LOC284395	0.156	0.218	0.221	0.035	0.099	0.145	0.184	0.079	0.128	0.282	0.195	0.315	0.244	0.205	0.17
VCX2	0.333	NA	0.0	NA	0.0	NA	NA	NA	0.2	0.0	NA	NA	0.0	0.8	0.286
PKDCC	0.164	0.05	0.105	0.062	0.067	0.035	0.014	0.019	0.029	0.132	0.026	0.148	0.168	0.056	0.073
CSRP1	0.508	0.348	0.392	0.18	0.347	0.13	0.193	0.291	0.35	0.303	0.385	0.512	0.319	0.263	0.298
CSRP3	0.642	0.633	0.828	0.468	0.413	0.296	0.076	0.708	0.829	0.948	0.898	0.873	0.667	0.856	0.795
CSRP2	0.343	0.283	0.29	0.213	0.135	0.113	0.538	0.313	0.5	0.291	0.405	0.262	0.469	0.53	0.828
NYAP1	0.32	0.197	0.445	0.04	0.136	0.172	0.138	0.069	0.238	0.324	0.339	0.103	0.325	0.341	0.322
NYAP2	0.554	0.558	0.695	0.338	0.35	0.417	0.238	0.606	0.489	0.521	0.704	0.682	0.571	0.555	0.668
ATP6V1D	0.616	0.202	0.46	0.27	0.193	0.286	0.377	0.462	0.423	0.536	0.681	0.51	0.426	0.402	0.559
EGFLAM	0.155	0.318	0.212	0.269	0.192	0.061	0.099	0.237	0.264	0.332	0.462	0.303	0.387	0.4	0.342
ATP6V1F	0.061	0.0	0.097	0.009	0.0	0.094	0.036	0.1	0.018	0.048	0.108	0.03	0.24	0.198	0.158
ATP6V1A	0.808	0.673	0.625	0.595	0.55	0.528	0.458	0.809	0.701	0.744	0.905	0.742	0.711	0.717	0.813
RASL10A	0.005	0.0	0.003	0.014	0.003	0.011	0.01	0.006	0.0	0.017	0.03	0.026	0.002	0.0	0.0
RASL10B	0.023	0.152	0.034	0.068	0.013	0.04	0.042	0.045	0.113	0.038	0.132	0.006	0.014	0.035	0.04
DTL	0.773	0.833	0.575	0.41	0.358	0.383	0.45	0.793	0.948	0.667	0.546	0.604	0.719	0.721	0.86
ATP6V1H	0.67	0.856	0.566	0.3	0.287	0.348	0.424	0.475	0.532	0.578	0.698	0.469	0.658	0.705	0.759
IGFLR1	0.061	0.0	0.022	0.0	0.014	0.013	0.0	0.049	0.017	0.016	0.086	0.005	0.029	0.02	0.013
RPL19P12	1.0	1.0	1.0	0.25	NA	0.636	0.55	0.933	1.0	1.0	1.0	0.5	NA	1.0	1.0
RAP1GDS1	0.743	0.38	0.747	0.381	0.388	0.541	0.316	0.669	0.805	0.64	0.591	0.643	0.685	0.689	0.844
EBI3	0.192	0.395	0.213	0.049	0.063	0.286	0.208	0.102	0.061	0.195	0.226	0.509	0.329	0.159	0.172
PDE6B	0.448	0.359	0.259	0.202	0.067	0.174	0.099	0.232	0.266	0.355	0.397	0.198	0.434	0.306	0.427
PDE6C	0.684	0.691	0.515	0.383	0.25	0.281	0.235	0.54	0.5	0.564	0.717	0.715	0.416	0.5	0.667
PDE6A	0.242	0.392	0.259	0.088	0.145	0.026	0.122	0.174	0.189	0.21	0.395	0.21	0.198	0.297	0.35
PDE6G	0.176	0.302	0.187	0.082	0.014	0.27	0.007	0.062	0.066	0.085	0.198	0.059	0.224	0.015	0.207
PDE6D	0.38	0.316	0.306	0.179	0.309	0.302	0.18	0.402	0.397	0.142	0.151	0.401	0.292	0.279	0.266
IL11RA	0.634	0.419	0.339	0.28	0.237	0.365	0.462	0.356	0.409	0.696	0.766	0.458	0.591	0.48	0.361
PDE6H	0.417	0.0	0.8	0.0	0.0	0.0	0.5	0.333	0.406	0.444	NA	0.273	0.727	0.25	0.5
ISPD-AS1	0.808	0.714	0.634	0.432	0.313	0.42	0.568	0.875	0.776	0.868	0.878	0.957	0.684	0.783	0.873
FAM226A	NA	0.0	NA	NA	NA	NA	0.0	0.0	0.0	0.0	NA	0.0	NA	NA	NA
FAM226B	NA	0.0	NA	NA	NA	NA	0.0	0.0	0.0	0.0	NA	0.0	NA	NA	NA
RBM12	0.256	0.625	0.311	0.151	0.099	0.061	0.172	0.241	0.453	0.26	0.218	0.399	0.328	0.228	0.26
RBM11	0.116	1.0	0.048	0.387	0.0	0.023	0.071	0.063	0.222	0.118	0.133	0.09	0.095	0.111	0.083
RBM10	0.747	0.414	0.58	0.446	0.428	0.397	0.392	0.5	0.66	0.579	0.775	0.512	0.389	0.435	0.403
RBM17	0.386	0.283	0.291	0.13	0.378	0.168	0.113	0.313	0.369	0.407	0.33	0.379	0.225	0.285	0.232
RBM15	0.118	0.0	0.023	0.028	0.014	0.014	0.026	0.121	0.08	0.029	0.0	0.028	0.049	0.0	0.0
RBM14	0.481	0.368	0.372	0.335	0.117	0.14	0.359	0.216	0.314	0.248	0.268	0.271	0.39	0.437	0.227
RBM19	0.723	0.591	0.63	0.443	0.404	0.286	0.458	0.576	0.406	0.542	0.719	0.516	0.543	0.769	0.697
RBM18	0.475	0.5	0.322	0.229	0.35	0.274	0.214	0.494	0.32	0.696	0.469	0.614	0.355	0.301	0.59
MVP	0.603	0.403	0.552	0.199	0.102	0.149	0.066	0.24	0.462	0.437	0.618	0.236	0.282	0.556	0.354
MIR1248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR1249	1.0	NA	NA	NA	NA	NA	NA	NA	NA	1.0	0.0	NA	NA	0.5	NA
MIR1243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR1246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR1247	0.0	NA	0.0	0.0	0.0	0.0	0.0	0.0	NA	0.0	0.0	0.0	0.0	NA	0.0
MVD	0.37	0.184	0.217	0.108	0.032	0.084	0.089	0.06	0.15	0.414	0.566	0.184	0.319	0.455	0.411
MVK	0.565	0.438	0.503	0.362	0.28	0.189	0.273	0.409	0.336	0.545	0.587	0.609	0.562	0.577	0.549
ALK	0.678	0.5	0.525	0.394	0.26	0.371	0.241	0.494	0.519	0.647	0.539	0.7	0.642	0.552	0.662
SUCLA2	0.635	0.563	0.44	0.506	0.226	0.284	0.306	0.593	0.509	0.615	0.554	0.536	0.62	0.83	0.572
ALB	0.0	0.091	0.333	0.167	0.0	0.214	0.071	0.5	0.25	0.357	0.583	0.75	0.423	0.5	0.4
RELL1	0.487	0.588	0.302	0.411	0.237	0.259	0.181	0.354	0.5	0.382	0.428	0.346	0.412	0.276	0.541
RELL2	0.052	0.033	0.033	0.0	0.02	0.0	0.022	0.019	0.0	0.02	0.071	0.023	0.014	0.036	0.02
MIR3689B	0.25	1.0	NA	1.0	0.0	NA	1.0	0.75	NA	NA	NA	1.0	1.0	1.0	NA
MIR3689C	1.0	NA	1.0	NA	NA	NA	1.0	NA	1.0	NA	1.0	1.0	1.0	NA	NA
MIR3689A	0.795	1.0	0.938	0.781	0.5	0.429	0.958	0.559	0.733	0.667	0.778	0.9	0.933	0.947	NA
CLLU1OS	0.217	NA	0.0	0.0	0.0	NA	0.0	NA	0.111	0.333	1.0	0.0	0.333	0.0	0.333
MIR3689E	1.0	NA	NA	1.0	NA	NA	0.75	1.0	1.0	NA	NA	NA	NA	NA	NA
RFT1	0.803	0.521	0.591	0.42	0.397	0.395	0.353	0.807	0.554	0.438	0.836	0.403	0.434	0.453	0.573
LRRC14	0.14	0.382	0.062	0.019	0.018	0.103	0.039	0.03	0.008	0.1	0.087	0.092	0.097	0.165	0.064
ZNF18	0.797	0.286	0.588	0.417	0.3	0.302	0.581	0.357	0.638	0.238	0.439	0.508	0.553	0.459	0.634
ZNF19	0.286	0.2	0.235	0.083	0.111	0.185	0.12	0.076	0.402	0.195	0.475	0.127	0.286	0.217	0.357
ZNF14	0.385	0.627	0.306	0.23	0.394	0.219	0.5	0.329	0.303	0.625	0.438	0.543	0.529	0.382	0.252
ZNF16	0.5	0.731	0.458	0.296	0.433	0.414	0.323	0.414	0.423	0.369	0.348	0.365	0.367	0.476	0.435
ZNF17	0.777	0.722	0.275	0.179	0.36	0.49	0.196	0.442	0.517	0.57	0.515	0.529	0.627	0.408	0.455
ZNF10	0.49	0.806	0.325	0.317	0.526	0.188	0.269	0.473	0.478	0.435	0.591	0.474	0.5	0.559	0.54
ZNF12	0.16	0.09	0.42	0.19	0.169	0.056	0.078	0.057	0.236	0.286	0.154	0.176	0.235	0.188	0.289
PLEKHG4B	0.506	0.379	0.329	0.041	0.175	0.189	0.168	0.259	0.254	0.391	0.783	0.269	0.512	0.506	0.475
MYBPHL	0.144	0.0	0.099	0.008	0.219	0.0	0.172	0.082	0.281	0.389	0.2	0.149	0.233	0.205	0.036
SELPLG	0.255	0.333	0.429	0.167	0.152	0.059	0.144	0.108	0.087	0.058	0.265	0.035	0.205	0.017	0.273
EIF2S2	0.333	0.23	0.43	0.29	0.147	0.167	0.333	0.321	0.429	0.415	0.329	0.46	0.327	0.647	0.448
KIAA1731	0.632	0.448	0.59	0.351	0.236	0.448	0.232	0.65	0.672	0.871	0.743	0.728	0.621	0.554	0.745
RRN3	0.496	0.84	0.554	0.347	0.374	0.279	0.253	0.597	0.367	0.565	0.569	0.437	0.404	0.551	0.637
LOC642366	0.085	0.014	0.121	0.027	0.037	0.024	0.13	0.091	0.151	0.095	0.171	0.273	0.189	0.209	0.143
LOC642361	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.0	0.005	0.039	0.0	0.0
LILRA6	0.089	0.0	0.0	0.02	0.0	0.135	0.033	0.021	0.064	0.043	0.089	0.164	0.39	0.241	0.0
LILRA4	0.077	0.0	0.136	0.0	0.0	0.088	0.01	0.0	0.009	0.1	0.047	0.019	0.338	0.026	0.022
LILRA5	0.063	0.125	0.313	0.013	0.083	0.114	0.0	0.0	0.077	0.237	0.515	0.152	0.212	0.092	0.231
LILRA2	0.12	0.048	0.22	0.024	0.024	0.27	0.053	0.123	0.1	0.25	0.229	0.284	0.297	0.192	0.294
LILRA3	0.083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.222	0.0	0.0	0.0	0.0	0.118	0.067
LILRA1	0.097	0.06	0.12	0.027	0.0	0.031	0.016	0.072	0.033	0.067	0.092	0.344	0.356	0.069	0.022
MIR5196	0.0	NA	0.5	NA	NA	0.0	NA	NA	0.0	0.0	0.0	0.5	0.0	NA	NA
UPRT	0.458	0.038	0.394	0.272	0.286	0.5	0.477	0.367	0.63	0.55	0.414	0.477	0.432	0.58	0.969
ARAP3	0.143	0.188	0.081	0.071	0.16	0.019	0.057	0.046	0.092	0.134	0.178	0.108	0.132	0.297	0.208
NFE2L3	0.32	0.229	0.301	0.308	0.152	0.11	0.126	0.318	0.333	0.301	0.137	0.354	0.353	0.34	0.323
NFE2L2	0.235	0.259	0.399	0.179	0.101	0.145	0.124	0.397	0.279	0.25	0.583	0.512	0.197	0.27	0.297
NFE2L1	0.246	0.245	0.267	0.136	0.09	0.26	0.104	0.372	0.388	0.167	0.342	0.258	0.603	0.212	0.228
SNORA38B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	NA	NA
ASNSD1	0.323	0.2	0.053	0.031	0.0	0.0	0.182	0.5	0.371	0.417	0.5	0.114	0.061	0.146	0.348
CORIN	0.294	0.32	0.313	0.143	0.087	0.151	0.182	0.29	0.348	0.361	0.505	0.39	0.259	0.383	0.388
KIRREL2	0.094	0.025	0.031	0.0	0.05	0.042	0.078	0.004	0.016	0.074	0.077	0.02	0.051	0.03	0.005
KIRREL3	0.388	0.387	0.393	0.178	0.1	0.168	0.12	0.213	0.286	0.433	0.305	0.294	0.296	0.382	0.29
STK17B	0.39	0.026	0.277	0.159	0.073	0.175	0.163	0.224	0.352	0.321	0.311	0.446	0.269	0.239	0.25
BLOC1S1-RDH5	0.253	0.375	0.331	0.027	0.042	0.0	0.064	0.218	0.142	0.272	0.377	0.18	0.304	0.483	0.381
STK17A	0.424	0.085	0.332	0.145	0.239	0.204	0.233	0.432	0.52	0.402	0.326	0.405	0.45	0.383	0.368
ZC3H11A	0.717	0.671	0.682	0.46	0.413	0.313	0.544	0.642	0.755	0.588	0.634	0.628	0.644	0.611	0.473
IAH1	0.281	0.162	0.33	0.175	0.071	0.164	0.108	0.187	0.25	0.282	0.304	0.29	0.307	0.275	0.264
TMEM225	1.0	1.0	0.0	NA	0.25	0.0	0.0	1.0	0.5	NA	NA	NA	0.4	0.875	0.5
RNU6-35P	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYB5R4	0.707	0.689	0.533	0.358	0.343	0.488	0.805	0.697	0.737	0.929	0.89	0.652	0.923	0.897	0.615
CYB5R3	0.604	0.496	0.425	0.208	0.104	0.198	0.345	0.273	0.356	0.429	0.43	0.434	0.476	0.664	0.257
CYB5R2	0.697	0.444	0.556	0.523	0.296	0.307	0.286	0.511	0.567	0.357	0.359	0.531	0.582	0.767	0.886
CYB5R1	0.569	0.333	0.269	0.074	0.0	0.0	0.06	0.205	0.4	0.469	0.179	0.15	0.324	0.1	0.091
SECTM1	0.397	0.406	0.16	0.037	0.054	0.065	0.032	0.095	0.133	0.275	0.237	0.184	0.306	0.182	0.387
LOC100507577	0.708	1.0	1.0	0.429	1.0	0.471	0.773	0.625	0.188	0.647	1.0	0.478	0.529	0.647	0.556
SRMS	0.047	0.147	0.069	0.126	0.147	0.0	0.005	0.006	0.101	0.14	0.095	0.1	0.096	0.218	0.036
FAHD2A	0.506	1.0	0.322	0.302	0.1	0.211	0.199	0.342	0.321	0.3	0.364	0.484	0.232	0.368	0.391
